Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781450893,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781450894,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781450895,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781450896,15,,Aggregated,0.000000,0.000000,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2,0,2430.3798000000825,2671.7799500002,2430.3798000000825,2913.180100000318,44644.0
1781450897,25,,Aggregated,0.000000,0.000000,3400,3400,3900,3900,3900,3900,3900,3900,3900,3900,3900,4,0,2900,3171.5319249997265,2430.3798000000825,3913.003800000297,44644.0
1781450898,25,,Aggregated,0.333333,0.000000,3900,3900,3900,3900,4400,4400,4400,4400,4400,4400,4400,6,0,3400,3495.135733333882,2430.3798000000825,4390.905700001895,44644.0
1781450899,25,,Aggregated,0.750000,0.000000,3900,4400,4400,4400,4900,4900,4900,4900,4900,4900,4900,8,0,3900,3777.2273750006207,2430.3798000000825,4862.991300000431,44644.0
1781450900,25,,Aggregated,1.000000,0.000000,4400,4400,4900,5400,5900,5900,5900,5900,5900,5900,5900,10,0,3900,4143.66126000059,2430.3798000000825,5863.891199998761,44644.0
1781450901,25,,Aggregated,1.166667,0.000000,4400,4900,5400,5400,5800,5900,5900,5900,5900,5900,5900,12,0,4400,4382.531058333673,2430.3798000000825,5863.891199998761,44644.0
1781450902,25,,Aggregated,1.285714,0.000000,4900,5400,5800,5900,6300,6800,6800,6800,6800,6800,6800,14,0,4400,4691.60106428613,2430.3798000000825,6794.164599999931,44644.0
1781450903,25,,Aggregated,1.375000,0.000000,5300,5800,6300,6300,7300,7600,7600,7600,7600,7600,7600,16,0,4900,5034.239175000266,2430.3798000000825,7559.912900000199,43887.9375
1781450904,25,,Aggregated,1.444444,0.000000,5400,6300,7300,7500,7600,8000,8000,8000,8000,8000,8000,19,0,5400,5453.046947368613,2430.3798000000825,7987.855800001853,41657.73684210526
1781450905,25,,Aggregated,1.444444,0.000000,5400,6300,7300,7500,7600,8000,8000,8000,8000,8000,8000,19,0,5400,5453.046947368613,2430.3798000000825,7987.855800001853,41657.73684210526
1781450906,25,,Aggregated,1.700000,0.000000,5800,6800,7500,7600,8000,9800,9800,9800,9800,9800,9800,20,0,5400,5670.30728000027,2430.3798000000825,9798.253600001772,41334.6
1781450907,25,,Aggregated,1.900000,0.000000,5900,7300,7600,7600,9800,10000,11000,11000,11000,11000,11000,22,0,5800,6108.931654545648,2430.3798000000825,10735.099500001525,41635.454545454544
1781450908,25,,Aggregated,1.800000,0.000000,6300,7500,8000,9800,11000,11000,11000,11000,11000,11000,11000,24,0,5900,6527.433916666875,2430.3798000000825,11230.385700000625,41388.916666666664
1781450909,25,,Aggregated,1.800000,0.000000,6300,7600,8000,10000,11000,11000,11000,11000,11000,11000,11000,25,0,6300,6723.162664000265,2430.3798000000825,11420.652600001631,41519.12
1781450910,25,,Aggregated,1.800000,0.000000,6800,7600,10000,11000,11000,12000,13000,13000,13000,13000,13000,27,0,6800,7143.009140740981,2430.3798000000825,12626.84470000022,41750.59259259259
1781450911,25,,Aggregated,1.800000,0.000000,7300,9800,11000,11000,13000,13000,14000,14000,14000,14000,14000,29,0,7300,7572.024875862302,2430.3798000000825,13613.210799998342,41950.137931034486
1781450912,25,,Aggregated,1.800000,0.000000,7300,9800,11000,11000,13000,13000,14000,14000,14000,14000,14000,29,0,7300,7572.024875862302,2430.3798000000825,13613.210799998342,41950.137931034486
1781450913,25,,Aggregated,1.800000,0.000000,7500,9800,11000,11000,13000,14000,15000,15000,15000,15000,15000,30,0,7300,7822.118783333523,2430.3798000000825,15074.842099998932,52691.86666666667
1781450914,25,,Aggregated,1.600000,0.000000,7600,11000,11000,12000,14000,15000,15000,15000,15000,15000,15000,32,0,7500,8293.128303125173,2430.3798000000825,15458.016799999314,53109.8125
1781450915,25,,Aggregated,1.600000,0.000000,7600,11000,11000,12000,14000,15000,15000,15000,15000,15000,15000,32,0,7500,8293.128303125173,2430.3798000000825,15458.016799999314,53109.8125
1781450916,25,,Aggregated,1.400000,0.000000,7600,11000,12000,13000,15000,16000,17000,17000,17000,17000,17000,34,0,7600,8776.146682353048,2430.3798000000825,16651.26379999856,51011.55882352941
